Address,Tickets
0xee2d9c448a1d2c74852f5a1a5b17b366bcdad7a0,36.0
0xfcdf5fbf83a7d54695ab4450a825c14ce215b363,36.0
0x4eb8f99f1f912642eafac5e1dfaf2b72c0012462,36.0
0x9f5808cba0dea1a587b843e61697b4925f04a2a5,36.0
0x99d1a222c5539b5ce0e8d429eba950970bda0862,36.0
0xa21a744957e0a483cfc2cebd312c2aeb24d53397,35.0
0x27677a95f17de170fd4cbac47712784fa3be4d02,35.0
0x574a145fc854494c026825a8d62bda1b26678fd8,35.0
0x5424fc41d64f787129520dff1a2002d0f033c3f4,35.0
0x1b788a6a4dc8eb39b49b62096c20bb81530a2fba,34.0
0x05cda24eeefd1f24f18dac398f5a612674d3ca5e,34.0
0xe8e3512bf7140a59d42e347c3b32a6fa404e913c,34.0
0x709f44c6abedc2cc4a642ea8af442871dd9f39a4,33.0
0x24ac005adcbb3d9551474b43f855191e12e8a4ec,33.0
0x4d179db2646ab31d12ba2ee936052f386c92fba7,32.0
0x0cd89c418a2fc2c6197cfa75062c19a4097220af,32.0
0xcd6e741beea10615be5b5aa8e1aac53241f4c9b1,32.0
0x6e723aac26d5c674e10096d708f7ff3edb18c56a,31.0
0x2c492138498165c3f6ff94ab7d0b7ab6dd546ada,30.0
0x77031d55d4792f0caa826e0c67539a73e34eb625,30.0
0x45c9235209a06bf8c8596c00b2934cf5aade091e,30.0
0xf1775fe082bb068d256f8e4c1e787a628056a088,30.0
0x9b644307d735abff8970d1a83389c42172f0220d,29.0
0xfc38b48de62666ee83b4e6fd6f13fd914e0db9ab,29.0
0x8956fcaf892b53f2b8856731e8001759f6ca815d,29.0
0x206153c003d24171702a0947ec1008f125e6f155,29.0
0xb9a2462d9cdfc6ea2a6e0f609a61634b71e601d0,29.0
0xb981290d9d804075986482f0302c03a3cd2aff32,28.0
0x268508731a1eae43711bad1e5a599177fdfcceb7,28.0
0xf8b4b932305f196f34d63cd05d7376a258f22666,28.0
0x286934bbaee844a88ca9ef633d5e513cc404790f,28.0
0x340798539bada9b832e8231f195294d62ef863fe,28.0
0xdfd338e79c71bfd3462769ac52f5475ce070f781,28.0
0xb97b3d173edd7641841cb72e3260cb34dcfb7e95,27.0
0x6b0be228330914513f361b4f70d218dd49ad75d3,27.0
0xdd8625637675df03f928ffa2cf6875e71d94217f,27.0
0xad57c7c66f4f912e6c9b88a7a673e94d1c981272,27.0
0x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,27.0
0x469adaf766fb35f1a3c2569fe8c57a50f4b39131,26.0
0x0a7fdbcd17c4b4b71d7190aa908028a786df874a,26.0
0x41ab08bed89c31619aa831e005dac6bedced7b46,26.0
0x1910515ced2e66d40a093341e961bc92eff0e4db,26.0
0x2bd595e7ffc811f0b46d7280f0bebacfe573408b,26.0
0x51ba9d1d64c6278bfbdf3c073d5afbc6c372a939,26.0
0x3e3588fc0dcee9cf9d2241d6353db5ccfd3a8e19,25.0
0xc9e2b6d7791c904421cf3d10cfc9e6eb8a258be7,25.0
0x87bdcf850bd4ea3ed3cb299bb6b7b63b2d31bec6,25.0
0x2a0a33e873b3b83118e3958281ec210ccf929942,25.0
0xe9ebd33d5211abd98cb1785d6a6459a5f5554492,25.0
0x700cfcdfcc31725c2aa5306ec1a4f02dc6d008eb,25.0
0x74931a63f678581234ebc535724517778084fddd,25.0
0x9c8d8642c20b568f9eb4248cfe49bb220451dcb0,25.0
0x1acf86b07600e069c6dcefda9871c4bb41ef58cf,24.0
0xb5532ceb62ab83e4a0f1281f5cb9a019b16e1c12,24.0
0x4504f6efb0701e5cff18b3d42037020a74d98f23,24.0
0xe4f1ffb476d5c3d10b270988527f2bde649c3a15,24.0
0x0c71fc96146a36baf36ff1befebdfc2cab8e8ebf,24.0
0x4c420110bdc4dbf16e8d5e0b559168dace5f58b5,24.0
0x393373e875b66f80c9ee3f31d36777a55552896c,24.0
0x9695cfddea925e36dc656dd2d078019e14a95ac1,24.0
0x1b19006167664da36476433b8c905b72b4d8b859,24.0
0x5b2ad6a2884f5f14ec5c6d3ea363e6f86fe9109b,24.0
0xccbb0f60620ce69f7abe647d937d702694ea94a4,24.0
0x79d0059702137b1a906ea4f2a390f8a3a453127a,24.0
0xe19f9b7e1ece7b765d4cb95939221919d6c23611,24.0
0x1864c57a6f8d3b10984ad0eace6c94027eb9f1db,23.0
0x2974f8b144b4e2bdb6ff57797ed9cc7c7ac77618,23.0
0x06a30395353d7d3742e49bf69fd25fdf69a131c8,23.0
0xb5b8497751aa8a6c6adcaf6cedb04d2415aefeed,23.0
0xd7fcde28dffa87790e2f0bb6fd0d1496a8e7cf0e,23.0
0xfd64f31990c5eb5946178d09b50491275b85bbc5,23.0
0xcc1f9bbafc59a3da4047a1cb080646d60e202199,23.0
0xa19265badd946329a8a8f84f25403e44ab185ab8,23.0
0x2082c5a3c08a4d5ade0ce779e24b463daa241646,23.0
0xf059de610427441f6fc68a97271d98d6e528f48f,23.0
0x92e5e33c33ab5ced1430ac0c1c94ce55dbfd160f,23.0
0xf6e62fc720f71150bb264e9ff0250eb5ba7fc043,22.0
0xbd70c54689b845fe49548bc4c70e2c1c7373f9da,22.0
0xcb0a0107419f9aca86e793f0808afc2e4ff490ef,22.0
0xe932d2b130a37507ab44f790afae895f9ba54435,22.0
0x30eef9d6c55a264fc2b228f75dd5f76ceb3c979a,22.0
0xb689d0813ef8d63ad619ae5716229ed0d994c2ce,22.0
0xe0b2a5594266585558d3a88cb3299e721524641e,22.0
0xd13db367b27602d833d0c7f1ff9ba5db43998648,21.0
0xe2820804ba47d99d156ceb4f92f640370fd4cf63,21.0
0x62120a421425f43bcf3cf66718a4ac40a445ab87,21.0
0xc3831d5b0217092b4cb0f6c04adcfd4e3fce8469,21.0
0x2614789823d79b71b011d753dd4ec106024d523b,21.0
0x1e692a6ef09ae411e9190bf2add391285b5d9d76,21.0
0x193a43a5157382dc877b78195b9abbdcca254302,21.0
0x438bbff80252c9c959797d0180a5c868e1a86c91,21.0
0x9029c2892a447b62b7de18e23a43f03417840256,21.0
0x4f4ce45bac7fe99d0c6cbf675fe0a8a8e857b472,21.0
0xb267ce60cd979faf681590034edb651c6fac6f1d,21.0
0x778fbaa1e977d9e4dd222957273284a5e464d9f1,21.0
0x96716b38ba8aa9e6d628f96e28f4c7a932bf1c5c,21.0
0xf8a065f287d91d77cd626af38ffa220d9b552a2b,21.0
0x9f650651e280acff2ef21fb777f1451ad6b3836a,21.0
0x44452720258f13e84e1b072ff763951144751a48,21.0
0x46f3621647ea07c0a0c192bcdbce79dcb8d698ad,21.0
0x396eec3f24e435571c3b700d7d1f39e2b3b39024,21.0
0x0b5dd26f44d36141d97a3bf6841e7ba63c092af9,21.0
0x986c012e09861249bb42f534a9204a257b443311,21.0
